spectrum,continuum_subtracted_spectrum,error
-6.39056,-6.73155,0.0
-6.38976,-6.82807,0.0
-6.38895,-7.02017,0.0
-6.38815,-6.95419,0.0
-6.38735,-7.01857,0.0
-6.38655,-7.09529,0.0
-6.38576,-7.01698,2.87894
5.17171,4.64279,3.06085
2.72092,2.0744,3.1002
2.49277,1.96385,3.01651
-0.294339,-0.759354,2.90367
-2.88409,-3.44402,2.68044
1.02227,0.557255,2.90083
4.26397,3.70404,2.98533
0.973977,0.52767,2.96181
0.847282,0.318681,3.0721
3.52831,2.92743,3.22868
1.71694,1.0409,3.21305
-4.77657,-5.36629,2.99817
-3.39814,-3.90749,3.08366
1.28158,0.71166,3.24734
-0.341427,-0.832778,3.23397
0.284742,-0.285178,3.15828
-1.64601,-2.13736,2.9101
-5.74597,-6.29135,2.87891
6.50354,5.95816,3.13893
0.57568,-0.046042,3.01107
-2.04711,-2.59249,2.8596
-1.17769,-1.77738,2.86294
-2.17707,-2.72245,2.74554
-1.89435,-2.37152,2.83685
6.27738,5.732,2.95478
2.72212,2.14983,2.87448
3.0128,2.392,2.81738
1.00891,0.436624,2.81302
-1.09111,-1.59813,2.86512
1.80609,1.2338,2.96609
1.25143,0.694782,2.93525
-1.99529,-2.61609,2.78791
-0.187189,-0.85099,2.77741
1.87919,1.25839,2.86135
-0.444365,-1.00101,2.57792
-0.0462002,-0.710001,2.73072
11.849,11.1852,2.81595
-2.84529,-3.50909,2.764
2.96105,2.4044,2.81443
0.277941,-0.268705,3.72438
-2.248,-2.79465,3.50505
11.6001,11.0731,3.40808
5.34683,4.70584,2.85363
1.13974,0.49875,2.60589
-7.05474,-7.71624,2.86199
-3.95785,-4.62476,2.88587
0.941789,0.274882,2.62951
-1.60075,-2.26766,2.72711
6.51083,5.7335,2.87839
-6.33472,-7.23102,2.55607
3.74816,2.88116,2.75117
3.10891,2.12761,2.69432
-4.37296,-5.45568,2.40918
1.81605,0.630788,2.51128
-0.547878,-1.6306,2.45959
1.31485,0.232129,2.4235
-3.6447,-4.71421,2.46199
-1.54774,-2.69928,2.36803
3.14764,1.89356,2.65546
0.895112,-0.375539,2.4852
2.20556,0.865773,2.49488
-1.27084,-2.67045,2.3923
-0.626927,-2.02654,2.44916
2.27907,0.879462,2.48233
1.26587,-0.0681324,2.42578
-2.43188,-3.8239,2.34144
1.5974,0.202731,2.49173
4.79745,3.40278,2.62891
-2.88618,-4.27428,2.42771
-1.09712,-2.52677,2.4779
4.60221,3.17256,2.43434
2.10886,0.67921,2.46267
5.19235,3.8237,2.44977
-0.717433,-2.14937,2.39087
-1.42728,-2.91527,2.34296
-1.54498,-2.97047,2.43285
0.727193,-0.740989,2.38278
5.96193,4.55393,2.44249
2.39187,0.983867,2.36908
4.88991,3.48191,2.49194
3.79147,2.32329,2.43678
0.928441,-0.539741,2.42631
1.89131,0.483307,2.39981
5.26297,3.87247,2.49761
2.42479,0.970998,2.48262
1.66822,0.15192,2.50905
0.84215,-0.742802,2.66033
2.48586,0.873427,2.6728
4.46904,2.91336,2.81823
2.25141,0.756279,2.74397
-2.52615,-4.08183,2.57415
-1.76958,-3.32526,2.45375
-0.124376,-1.68005,2.32386
1.60794,-0.0166276,2.27873
4.27323,2.70033,2.32972
5.30282,3.72901,2.33577
0.975777,-0.650423,2.25166
4.44212,2.81592,2.34222
1.79242,0.16622,2.33108
4.47756,2.92593,2.40689
5.64293,4.02485,2.42392
-1.89433,-3.53968,2.27656
1.95775,0.312405,2.38898
5.01156,3.32298,2.5169
0.937748,-0.807586,2.47284
-1.33012,-3.0187,2.47783
1.69445,-0.0322418,2.51769
4.13138,2.34793,2.4682
0.220067,-1.53671,2.32411
0.460538,-1.22959,2.23832
0.3475,-1.34263,2.20374
1.91815,0.228024,2.21985
1.84798,0.157854,2.25514
-1.04591,-2.80269,2.20259
1.62096,-0.0691658,2.26508
-0.0147065,-1.68672,2.22791
2.7436,1.00737,2.30968
-1.05621,-2.79244,2.20269
-2.64013,-4.37636,2.23438
5.67704,3.87894,2.39575
2.67694,0.940709,2.35315
0.312413,-1.42382,2.25114
0.684158,-1.05207,2.22683
2.47895,0.780302,2.22899
3.29393,1.54096,2.265
2.20543,0.405343,2.20756
1.39562,-0.365137,2.20291
1.14404,-0.551999,2.17126
-1.37651,-3.07255,2.1827
0.139002,-1.58531,2.23195
2.93165,1.20734,2.3475
2.28494,0.560627,2.33786
3.85908,2.15068,2.36018
4.7859,3.1429,2.31356
0.914917,-0.728084,2.13974
0.953218,-0.755183,1.99334
3.01346,1.27491,1.9342
0.638269,-1.15614,1.93126
-1.48384,-3.29066,1.95017
0.403493,-1.34746,1.9307
2.06743,0.316475,1.98092
1.79166,0.0407051,1.92408
1.73389,0.0483353,1.98234
2.77442,1.06763,1.95815
1.71077,0.0701981,1.90981
2.47288,0.892724,1.84769
0.428063,-1.2088,1.74896
1.91377,0.305316,1.82
2.94029,1.27238,1.80846
-0.767452,-2.43536,1.73684
0.424157,-1.24375,1.69604
-0.940679,-2.60859,1.69356
0.91952,-0.774778,1.81886
2.69474,1.03902,1.86993
3.29743,1.64171,1.91285
3.06948,1.41376,1.90311
0.0711971,-1.63304,1.84613
1.75957,0.0456183,1.82305
2.19582,0.463561,1.80854
-1.19369,-2.92595,1.71083
-1.52474,-3.31286,1.74036
2.80309,0.980022,1.90178
0.186866,-1.68311,1.96978
5.43617,3.58608,2.09403
2.31543,0.465339,2.06137
1.42852,-0.467296,2.10139
3.60682,1.75673,2.11706
2.92863,1.12535,2.10311
4.15827,2.35499,2.05945
0.0615677,-1.74743,1.96048
-0.282843,-2.09184,1.84731
4.86942,3.10305,1.96791
4.92005,3.19887,1.88758
-1.45854,-3.16128,1.8265
4.27959,2.53964,2.02409
1.9031,0.150257,2.06234
-1.3477,-3.14148,2.00768
-0.263661,-2.10251,1.99538
2.88061,1.06069,2.11417
3.34612,1.56659,2.12717
1.5486,-0.230932,2.05291
4.72485,2.94532,2.17713
1.84364,0.0614983,2.11989
0.748255,-1.03389,2.21806
2.28683,0.464976,2.6546
0.830593,-0.951549,2.72276
-1.03802,-2.85987,2.68652
3.31732,1.49547,2.5719
-0.176577,-1.99843,2.10644
-0.474677,-2.30698,1.99072
1.99687,0.145521,2.01225
1.41806,-0.425202,1.95452
5.30814,3.50625,2.00921
4.16704,2.38293,2.02777
4.83105,3.00534,2.02241
0.0803897,-1.70176,1.84399
-2.00959,-3.79174,1.84407
4.70043,2.90217,1.9231
1.46282,-0.33544,1.83181
-1.51595,-3.31421,1.67883
0.750582,-1.04768,1.71415
1.875,0.07674,1.69791
2.10278,0.30452,1.73061
3.46214,1.66388,1.79631
1.10806,-0.6902,1.76985
3.08198,1.28372,1.82018
2.65595,0.901625,1.82947
2.29364,0.538042,1.75816
2.64671,0.874923,1.74229
1.90906,0.134597,1.70594
1.33725,-0.482431,1.69529
2.38716,0.522835,1.74789
0.99489,-0.869435,1.67355
0.0466391,-1.8524,1.68361
0.558681,-1.29867,1.69208
1.50409,-0.333938,1.6881
2.67881,0.79991,1.63815
-0.238351,-2.11725,1.54365
0.0856331,-1.75656,1.54043
0.799115,-1.04308,1.48878
1.75226,-0.0472698,1.5736
3.45205,1.65252,1.63359
1.58214,-0.260052,1.59663
2.95372,1.11153,1.62018
3.31487,1.51534,1.65225
1.92513,0.0829382,1.65278
1.32938,-0.47015,1.6625
2.25202,0.479435,1.64368
2.47704,0.704455,1.99727
8.78075,6.96461,2.08205
0.857987,-0.958158,1.55679
-0.309603,-2.09513,1.52825
3.80644,2.02332,1.70312
0.577722,-1.23694,1.65099
2.50859,0.693924,1.75963
0.621797,-1.21232,1.85015
1.21688,-0.617233,1.87594
2.34811,0.534448,1.79479
2.19164,0.335316,1.72451
1.56408,-0.247928,1.65205
1.14553,-0.70806,1.6352
0.749756,-1.10383,1.5923
2.21101,0.35742,1.64537
3.06495,1.16931,1.62624
0.94441,-0.926188,1.56059
-1.29931,-3.16721,1.5111
2.66835,0.800445,1.61442
2.86249,1.02232,1.66645
0.642504,-1.18686,1.67626
0.377952,-1.45141,1.78608
0.0442954,-1.79222,1.84592
-1.41132,-3.26699,1.92258
2.56289,0.707224,2.02151
3.47878,1.60957,2.06004
3.22703,1.32349,1.89583
1.06012,-0.878525,1.77796
-0.328083,-2.25112,1.65296
1.35612,-0.540885,1.57026
2.09953,0.202525,1.63728
3.43379,1.53678,1.71185
3.28001,1.383,1.78788
2.89751,1.00935,1.70968
3.08156,1.22789,1.6881
2.14712,0.300478,1.67244
-1.15189,-2.96418,1.63919
1.88111,0.0680254,1.76496
5.38766,3.5698,1.93505
3.02595,1.2416,1.89556
-0.522173,-2.34004,1.746
1.51597,-0.301894,1.69107
3.80718,1.98845,1.69621
-0.942963,-2.79243,1.53416
0.96129,-0.888175,1.57408
5.21237,3.35756,1.72541
3.035,1.18019,1.76073
-2.53838,-4.42323,1.72168
2.70913,0.79248,1.94772
0.865435,-1.07605,2.22308
0.308531,-1.63295,2.24974
0.425451,-1.51336,2.12036
2.58079,0.641983,1.92676
4.91176,2.97995,1.86459
-1.86105,-3.77525,1.68035
1.60901,-0.305724,1.71406
2.16055,0.242714,1.71008
2.43499,0.481992,1.71578
4.2051,2.2521,1.77898
3.87978,1.92678,1.79858
0.657835,-1.3307,1.73761
1.82256,-0.201676,1.72092
2.93862,0.914384,1.76528
0.471265,-1.58995,1.69549
-0.361107,-2.42232,1.73963
3.74395,1.64682,1.73357
3.38401,1.25975,1.68962
0.393322,-1.73143,1.65447
2.32338,0.167879,1.63503
1.4208,-0.714454,1.63297
0.030721,-2.11434,1.5791
3.04042,0.8649,1.62057
1.68546,-0.519674,1.63063
2.0451,-0.144496,1.65199
0.439253,-1.75034,1.59914
1.52062,-0.699305,1.57847
3.17818,0.958255,1.57698
1.86127,-0.358655,1.51491
3.05476,0.834835,1.55208
1.77437,-0.445555,1.57036
2.35358,0.103344,1.52397
2.32934,0.0791042,1.58165
1.3063,-0.943936,1.58012
1.50028,-0.760237,1.6455
2.41466,0.148294,1.71961
1.02503,-1.20812,1.6891
3.72025,1.51741,1.7543
2.11996,-0.109093,1.64918
-1.56885,-3.82751,1.56231
0.16342,-2.11159,1.60357
2.09046,-0.173459,1.66188
0.965333,-1.31937,1.69413
1.92744,-0.357259,1.69545
1.53073,-0.753969,1.61383
1.10318,-1.152,1.49332
2.61905,0.363868,1.56551
0.566392,-1.68974,1.50706
1.52018,-0.765474,1.51014
3.81456,1.52891,1.58956
3.3689,1.08528,1.55535
1.87876,-0.404863,1.50382
1.97124,-0.284302,1.49359
1.39226,-0.863282,1.45542
6.17279,3.89877,1.55234
4.22665,1.95774,1.50809
2.52762,0.23753,1.46689
2.53579,0.220195,1.47091
1.45626,-0.833881,1.44747
3.78952,1.49938,1.51364
2.16235,-0.153245,1.51018
0.924907,-1.36523,1.47498
1.53248,-0.757661,1.50911
2.77676,0.472159,1.56367
3.47614,1.14766,1.59183
3.93052,1.60204,1.56739
3.40897,1.10437,1.60672
2.49052,0.185919,1.54131
3.06796,0.739477,1.56152
3.79888,1.44744,1.51513
3.45161,1.10479,1.48159
4.60353,2.24819,1.50219
3.12252,0.767176,1.52169
